2025-04-13 21:46:50.370 | SUCCESS  | proxy_tester:test_proxy:35 - Proxy 52.74.227.50:3128 working, response time: 4.05s
2025-04-13 21:46:50.371 | ERROR    | proxy_tester:test_proxy:41 - Proxy 117.83.43.14:8089 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE5D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:50.406 | ERROR    | proxy_tester:test_proxy:41 - Proxy 111.132.16.156:3389 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8190>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:50.502 | ERROR    | proxy_tester:test_proxy:41 - Proxy 111.132.16.70:3389 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A96D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:50.556 | ERROR    | proxy_tester:test_proxy:41 - Proxy 69.49.228.101:3128 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8EE0AA350>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:50.876 | ERROR    | proxy_tester:test_proxy:41 - Proxy 43.135.136.234:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:51.190 | ERROR    | proxy_tester:test_proxy:41 - Proxy 104.129.192.181:10797 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))
2025-04-13 21:46:51.385 | ERROR    | proxy_tester:test_proxy:41 - Proxy 43.135.166.98:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:51.428 | ERROR    | proxy_tester:test_proxy:41 - Proxy 43.135.180.61:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:51.549 | ERROR    | proxy_tester:test_proxy:41 - Proxy 170.106.84.182:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:51.616 | ERROR    | proxy_tester:test_proxy:41 - Proxy 182.204.182.147:1080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8EE0A8910>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:52.133 | ERROR    | proxy_tester:test_proxy:41 - Proxy 114.115.154.100:6125 failed: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2025-04-13 21:46:52.343 | ERROR    | proxy_tester:test_proxy:41 - Proxy 170.106.104.64:13001 failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-13 21:46:53.356 | ERROR    | proxy_tester:test_proxy:41 - Proxy 180.118.239.159:8089 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCDBD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
2025-04-13 21:46:55.397 | ERROR    | proxy_tester:test_proxy:41 - Proxy 203.177.133.235:8080 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCD950>, 'Connection to 203.177.133.235 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.413 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.165.155.22:2016 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE350>, 'Connection to 103.165.155.22 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.413 | ERROR    | proxy_tester:test_proxy:41 - Proxy 103.247.23.181:1111 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCD1D0>, 'Connection to 103.247.23.181 timed out. (connect timeout=10)')))
2025-04-13 21:46:55.414 | ERROR    | proxy_tester:test_proxy:41 - Proxy 190.95.132.189:999 failed: HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001D8ECBCE490>, 'Connection to 190.95.132.189 timed out. (connect timeout=10)')))
